stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
390,19th Avenue & Holloway St, ,37.72119,-122.475096, , 
660,MISSION ST & OCEAN AVENUE, ,37.723914,-122.435387, , 
913,DUBLIN ST & LAGRANDE AVE, ,37.719192,-122.425802, , 
3003,2nd St & Brannan St   , ,37.781827,-122.391945, , 
3004,2nd St & Brannan St   , ,37.781854,-122.392232, , 
3008,2nd St & Folsom St   , ,37.785318,-122.396562, , 
3009,2nd St & Harrison St   , ,37.784532,-122.395325, , 
3010,2nd St & Harrison St   , ,37.784095,-122.395016, , 
3011,2nd St & Howard St   , ,37.786559,-122.398109, , 
3012,2nd St & Market St   , ,37.789067,-122.401306, , 
3013,2nd St & Stevenson St   , ,37.78862,-122.40065, , 
3015,2nd St & Townsend St   , ,37.780622,-122.390685, , 
3016,3rd St & 4th St  , ,37.772618,-122.389786, , 
3018,Bacon St & San Bruno Ave   , ,37.727739,-122.40324, , 
3019,Bacon St & San Bruno Ave  , ,37.727645,-122.403269, , 
3020,Bacon St & Somerset St  , ,37.72667,-122.40746, , 
3021,Bacon St & Somerset St  , ,37.72654,-122.40766, , 
3023,BOWLEY ST & GIBSON RD, ,37.790249,-122.482263, , 
3024,Baker St & Greenwich St  , ,37.797606,-122.445693, , 
3025,Battery St & Broadway  , ,37.798311,-122.401093, , 
3026,Battery St & Filbert St  , ,37.80216,-122.40184, , 
3029,Battery St & Green St  , ,37.80055,-122.40151, , 
3030,Battery St & Jackson St  , ,37.79686,-122.40077, , 
3031,Bay St & Midway St  , ,37.806094,-122.409161, , 
3032,Balboa St & 4th Ave  , ,37.777396,-122.461751, , 
3033,Balboa St & 4th Ave  , ,37.777262,-122.461969, , 
3034,Balboa St & 6th Ave  , ,37.777289,-122.464158, , 
3035,Balboa St & 6th Ave  , ,37.777173,-122.463849, , 
3036,Balboa St & 8th Ave  , ,37.777199,-122.466038, , 
3037,Balboa St & 8th Ave  , ,37.777065,-122.466256, , 
3038,Balboa St & 10th Ave  , ,37.777101,-122.46817, , 
3039,Balboa St & 10th Ave  , ,37.776967,-122.468388, , 
3040,Balboa St & 12th Ave  , ,37.777002,-122.470313, , 
3041,Balboa St & 12th Ave  , ,37.776868,-122.470531, , 
3042,Balboa St & 14th Ave  , ,37.77678,-122.4727, , 
3043,Balboa St & 17th Ave  , ,37.77676,-122.475769, , 
3044,Balboa St & 17th Ave  , ,37.776626,-122.475987, , 
3045,Balboa St & 19th Ave  , ,37.776662,-122.477912, , 
3046,Balboa St & 19th Ave  , ,37.776528,-122.47813, , 
3047,Balboa St & 21st Ave  , ,37.776563,-122.480056, , 
3048,Balboa St & 21st Ave  , ,37.776429,-122.480273, , 
3049,Balboa St & 23rd Ave  , ,37.77647,-122.48219, , 
3050,Balboa St & 23rd Ave  , ,37.77633,-122.482417, , 
3051,Balboa St & 25th Ave  , ,37.776356,-122.484606, , 
3052,Balboa St & 25th Ave  , ,37.77624,-122.484296, , 
3053,Balboa St & 28th Ave  , ,37.776222,-122.487551, , 
3054,Balboa St & 28th Ave  , ,37.776088,-122.487769, , 
3055,Balboa St & 30th Ave  , ,37.776114,-122.489958, , 
3056,Balboa St & 30th Ave  , ,37.775989,-122.489912, , 
3057,Balboa St & 32nd Ave  , ,37.776024,-122.491838, , 
3058,Balboa St & 32nd Ave  , ,37.77589,-122.492056, , 
3059,Balboa St & 34th Ave  , ,37.775791,-122.494199, , 
3060,Balboa St & 35th Ave   , ,37.775898,-122.494577, , 
3061,Balboa St & 37th Ave  , ,37.775781,-122.497202, , 
3062,Balboa St & 37th Ave  , ,37.775647,-122.497419, , 
3063,Balboa St & 40th Ave  , ,37.775637,-122.500399, , 
3064,Balboa St & 40th Ave  , ,37.775503,-122.500617, , 
3065,Balboa St & 43rd Ave  , ,37.775484,-122.50362, , 
3066,Balboa St & 43rd Ave  , ,37.77535,-122.503838, , 
3067,Balboa St & Arguello Blvd  , ,37.77747,-122.45886, , 
3070,Balboa St & Park Presidio Blvd, ,37.776895,-122.472227, , 
3071,Balboa St & Park Presidio Blvd, ,37.776788,-122.472411, , 
3072,Broderick St & Bay St  , ,37.801541,-122.444798, , 
3074,Broderick St & Beach St  , ,37.803415,-122.445176, , 
3075,Broderick St & Francisco St  , ,37.800622,-122.444603, , 
3076,Broderick St & Jefferson St  , ,37.804343,-122.44536, , 
3077,Broderick St & North Point St , ,37.802478,-122.444982, , 
3082,Broadway & Grant Ave  , ,37.797831,-122.406345, , 
3084,Broadway & Montgomery St  , ,37.798134,-122.40396, , 
3085,Broadway & Steiner St  , ,37.794131,-122.436442, , 
3086,Broadway & Steiner St  , ,37.794056,-122.436278, , 
3087,Broadway & Stockton St  , ,37.797591,-122.408294, , 
3089,Beale St & Mission St   , ,37.79175,-122.3967, , 
3090,Beach St & Divisadero St  , ,37.803629,-122.443674, , 
3092,Beach St & Mason St  , ,37.807407,-122.414125, , 
3093,Beach St & Polk St   , ,37.806375,-122.423195, , 
3094,Beach St & Scott St   , ,37.80378,-122.44258, , 
3095,Beach St & Stockton St  , ,37.807841,-122.41081, , 
3096,Bemis St & Moffitt St   , ,37.736655,-122.431181, , 
